Code,Description
B37.32,chronic candidiasis of vulva and vagina
B37.41,candidal cystitis and urethritis
B37.42,candidal balanitis
B37.49,other urogenital candidiasis
B37.5,candidal meningitis
B37.6,candidal endocarditis
B37.7,candidal sepsis
B37.81,candidal esophagitis
B37.82,candidal enteritis
B37.83,candidal cheilitis
B37.84,candidal otitis externa
B37.89,other sites of candidiasis
B37.9,"candidiasis, unspecified"
B38.0,acute pulmonary coccidioidomycosis
B38.1,chronic pulmonary coccidioidomycosis
B38.2,"pulmonary coccidioidomycosis, unspecified"
B38.3,cutaneous coccidioidomycosis
B38.4,coccidioidomycosis meningitis
B38.7,disseminated coccidioidomycosis
B38.81,prostatic coccidioidomycosis
B38.89,other forms of coccidioidomycosis
B38.9,"coccidioidomycosis, unspecified"
B39.0,acute pulmonary histoplasmosis capsulati
B39.1,chronic pulmonary histoplasmosis capsulati
B39.2,"pulmonary histoplasmosis capsulati, unspecified"
B39.3,disseminated histoplasmosis capsulati
B39.4,"histoplasmosis capsulati, unspecified"
B39.5,histoplasmosis duboisii
B39.9,"histoplasmosis, unspecified"
B40.0,acute pulmonary blastomycosis
B40.1,chronic pulmonary blastomycosis
B40.2,"pulmonary blastomycosis, unspecified"
B40.3,cutaneous blastomycosis
B40.7,disseminated blastomycosis
B40.81,blastomycotic meningoencephalitis
B40.89,other forms of blastomycosis
B40.9,"blastomycosis, unspecified"
B41.0,pulmonary paracoccidioidomycosis
B41.7,disseminated paracoccidioidomycosis
B41.8,other forms of paracoccidioidomycosis
B41.9,"paracoccidioidomycosis, unspecified"
B42.0,pulmonary sporotrichosis
B42.1,lymphocutaneous sporotrichosis
B42.7,disseminated sporotrichosis
B42.81,cerebral sporotrichosis
B42.82,sporotrichosis arthritis
B42.89,other forms of sporotrichosis
B42.9,"sporotrichosis, unspecified"
B43.0,cutaneous chromomycosis
B43.1,pheomycotic brain abscess
B43.2,subcutaneous pheomycotic abscess and cyst
B43.8,other forms of chromomycosis
B43.9,"chromomycosis, unspecified"
B44.0,invasive pulmonary aspergillosis
B44.1,other pulmonary aspergillosis
B44.2,tonsillar aspergillosis
B44.7,disseminated aspergillosis
B44.81,allergic bronchopulmonary aspergillosis
B44.89,other forms of aspergillosis
B44.9,"aspergillosis, unspecified"
B45.0,pulmonary cryptococcosis
B45.1,cerebral cryptococcosis
B45.2,cutaneous cryptococcosis
B45.3,osseous cryptococcosis
B45.7,disseminated cryptococcosis
B45.8,other forms of cryptococcosis
B45.9,"cryptococcosis, unspecified"
B46.0,pulmonary mucormycosis
B46.1,rhinocerebral mucormycosis
B46.2,gastrointestinal mucormycosis
B46.3,cutaneous mucormycosis
B46.4,disseminated mucormycosis
B46.5,"mucormycosis, unspecified"
B46.8,other zygomycoses
B46.9,"zygomycosis, unspecified"
B47.0,eumycetoma
B47.1,actinomycetoma
B47.9,"mycetoma, unspecified"
B48.0,lobomycosis
B48.1,rhinosporidiosis
B48.2,allescheriasis
B48.3,geotrichosis
B48.4,penicillosis
B48.8,other specified mycoses
B49,unspecified mycosis
B50.0,plasmodium falciparum malaria with cerebral complications
B50.8,other severe and complicated plasmodium falciparum malaria
B50.9,"plasmodium falciparum malaria, unspecified"
B51.0,plasmodium vivax malaria with rupture of spleen
B51.8,plasmodium vivax malaria with other complications
B51.9,plasmodium vivax malaria without complication
B52.0,plasmodium malariae malaria with nephropathy
B52.8,plasmodium malariae malaria with other complications
B52.9,plasmodium malariae malaria without complication
B53.0,plasmodium ovale malaria
B53.1,malaria due to simian plasmodia
B53.8,"other malaria, not elsewhere classified"
B54,unspecified malaria
B55.0,visceral leishmaniasis
B55.1,cutaneous leishmaniasis
B55.2,mucocutaneous leishmaniasis
B55.9,"leishmaniasis, unspecified"
B56.0,gambiense trypanosomiasis
B56.1,rhodesiense trypanosomiasis
B56.9,"african trypanosomiasis, unspecified"
B57.0,acute chagas' disease with heart involvement
B57.1,acute chagas' disease without heart involvement
B57.2,chagas' disease (chronic) with heart involvement
B57.30,"chagas' disease with digestive system involvement, unspecified"
B57.31,megaesophagus in chagas' disease
B57.32,megacolon in chagas' disease
B57.39,other digestive system involvement in chagas' disease
B57.40,"chagas' disease with nervous system involvement, unspecified"
B57.41,meningitis in chagas' disease
B57.42,meningoencephalitis in chagas' disease
B57.49,other nervous system involvement in chagas' disease
B57.5,chagas' disease (chronic) with other organ involvement
B58.00,"toxoplasma oculopathy, unspecified"
B58.01,toxoplasma chorioretinitis
B58.09,other toxoplasma oculopathy
B58.1,toxoplasma hepatitis
B58.2,toxoplasma meningoencephalitis
B58.3,pulmonary toxoplasmosis
B58.81,toxoplasma myocarditis
B58.82,toxoplasma myositis
B58.83,toxoplasma tubulo-interstitial nephropathy
B58.89,toxoplasmosis with other organ involvement
B58.9,"toxoplasmosis, unspecified"
B59,pneumocystosis
B60.00,"babesiosis, unspecified"
B60.01,babesiosis due to babesia microti
B60.02,babesiosis due to babesia duncani
B60.03,babesiosis due to babesia divergens
B60.09,other babesiosis
B60.10,"acanthamebiasis, unspecified"
B60.11,meningoencephalitis due to acanthamoeba (culbertsoni)
B60.12,conjunctivitis due to acanthamoeba
B60.13,keratoconjunctivitis due to acanthamoeba
B60.19,other acanthamebic disease
B60.2,naegleriasis
B60.8,other specified protozoal diseases
B64,unspecified protozoal disease
B65.0,schistosomiasis due to schistosoma haematobium [urinary schistosomiasis]
B65.1,schistosomiasis due to schistosoma mansoni [intestinal schistosomiasis]
B65.2,schistosomiasis due to schistosoma japonicum
B65.3,cercarial dermatitis
B65.8,other schistosomiasis
B65.9,"schistosomiasis, unspecified"
B66.0,opisthorchiasis
B66.1,clonorchiasis
B66.2,dicroceliasis
B66.3,fascioliasis
B66.4,paragonimiasis
B66.5,fasciolopsiasis
B66.8,other specified fluke infections
B66.9,"fluke infection, unspecified"
B67.0,echinococcus granulosus infection of liver
B67.1,echinococcus granulosus infection of lung
B67.2,echinococcus granulosus infection of bone
B67.31,"echinococcus granulosus infection, thyroid gland"
B67.32,"echinococcus granulosus infection, multiple sites"
B67.39,"echinococcus granulosus infection, other sites"
B67.4,"echinococcus granulosus infection, unspecified"
B67.5,echinococcus multilocularis infection of liver
B67.61,"echinococcus multilocularis infection, multiple sites"
B67.69,"echinococcus multilocularis infection, other sites"
B67.7,"echinococcus multilocularis infection, unspecified"
B67.8,"echinococcosis, unspecified, of liver"
B67.90,"echinococcosis, unspecified"
B67.99,other echinococcosis
B68.0,taenia solium taeniasis
B68.1,taenia saginata taeniasis
B68.9,"taeniasis, unspecified"
B69.0,cysticercosis of central nervous system
B69.1,cysticercosis of eye
B69.81,myositis in cysticercosis
B69.89,cysticercosis of other sites
B69.9,"cysticercosis, unspecified"
B70.0,diphyllobothriasis
B70.1,sparganosis
B71.0,hymenolepiasis
B71.1,dipylidiasis
B71.8,other specified cestode infections
B71.9,"cestode infection, unspecified"
B72,dracunculiasis
B73.00,"onchocerciasis with eye involvement, unspecified"
B73.01,onchocerciasis with endophthalmitis
B73.02,onchocerciasis with glaucoma
B73.09,onchocerciasis with other eye involvement
B73.1,onchocerciasis without eye disease
B74.0,filariasis due to wuchereria bancrofti
B74.1,filariasis due to brugia malayi
B74.2,filariasis due to brugia timori
B74.3,loiasis
B74.4,mansonelliasis
B74.8,other filariases
B74.9,"filariasis, unspecified"
B75,trichinellosis
B76.0,ancylostomiasis
B76.1,necatoriasis
B76.8,other hookworm diseases
B76.9,"hookworm disease, unspecified"
B77.0,ascariasis with intestinal complications
B77.81,ascariasis pneumonia
B77.89,ascariasis with other complications
B77.9,"ascariasis, unspecified"
B78.0,intestinal strongyloidiasis
B78.1,cutaneous strongyloidiasis
B78.7,disseminated strongyloidiasis
B78.9,"strongyloidiasis, unspecified"
B79,trichuriasis
B80,enterobiasis
B81.0,anisakiasis
B81.1,intestinal capillariasis
B81.2,trichostrongyliasis
B81.3,intestinal angiostrongyliasis
B81.4,mixed intestinal helminthiases
B81.8,other specified intestinal helminthiases
B82.0,"intestinal helminthiasis, unspecified"
B82.9,"intestinal parasitism, unspecified"
B83.0,visceral larva migrans
B83.1,gnathostomiasis
B83.2,angiostrongyliasis due to parastrongylus cantonensis
B83.3,syngamiasis
B83.4,internal hirudiniasis
B83.8,other specified helminthiases
B83.9,"helminthiasis, unspecified"
B85.0,pediculosis due to pediculus humanus capitis
B85.1,pediculosis due to pediculus humanus corporis
B85.2,"pediculosis, unspecified"
B85.3,phthiriasis
B85.4,mixed pediculosis and phthiriasis
B86,scabies
B87.0,cutaneous myiasis
B87.1,wound myiasis
B87.2,ocular myiasis
B87.3,nasopharyngeal myiasis
B87.4,aural myiasis
B87.81,genitourinary myiasis
B87.82,intestinal myiasis
B87.89,myiasis of other sites
B87.9,"myiasis, unspecified"
B88.0,other acariasis
B88.1,tungiasis [sandflea infestation]
B88.2,other arthropod infestations
B88.3,external hirudiniasis
B88.8,other specified infestations
B88.9,"infestation, unspecified"
B89,unspecified parasitic disease
B90.0,sequelae of central nervous system tuberculosis
B90.1,sequelae of genitourinary tuberculosis
B90.2,sequelae of tuberculosis of bones and joints
B90.8,sequelae of tuberculosis of other organs
B90.9,sequelae of respiratory and unspecified tuberculosis
B91,sequelae of poliomyelitis
B92,sequelae of leprosy
B94.0,sequelae of trachoma
B94.1,sequelae of viral encephalitis
B94.2,sequelae of viral hepatitis
B94.8,sequelae of other specified infectious and parasitic diseases
B94.9,sequelae of unspecified infectious and parasitic disease
B95.0,"streptococcus, group a, as the cause of diseases classified elsewhere"
B95.1,"streptococcus, group b, as the cause of diseases classified elsewhere"
B95.2,enterococcus as the cause of diseases classified elsewhere
B95.3,streptococcus pneumoniae as the cause of diseases classified elsewhere
B95.4,other streptococcus as the cause of diseases classified elsewhere
B95.5,unspecified streptococcus as the cause of diseases classified elsewhere
B95.61,methicillin susceptible staphylococcus aureus infection as the cause of diseases classified elsewhere
B95.62,methicillin resistant staphylococcus aureus infection as the cause of diseases classified elsewhere
B95.7,other staphylococcus as the cause of diseases classified elsewhere
B95.8,unspecified staphylococcus as the cause of diseases classified elsewhere
B96.0,mycoplasma pneumoniae [m. pneumoniae] as the cause of diseases classified elsewhere
B96.1,klebsiella pneumoniae [k. pneumoniae] as the cause of diseases classified elsewhere
B96.20,unspecified escherichia coli [e. coli] as the cause of diseases classified elsewhere
B96.21,shiga toxin-producing escherichia coli [e. coli] [stec] o157 as the cause of diseases classified elsewhere
B96.22,other specified shiga toxin-producing escherichia coli [e. coli] [stec] as the cause of diseases classified elsewhere
B96.23,unspecified shiga toxin-producing escherichia coli [e. coli] [stec] as the cause of diseases classified elsewhere
B96.29,other escherichia coli [e. coli] as the cause of diseases classified elsewhere
B96.3,hemophilus influenzae [h. influenzae] as the cause of diseases classified elsewhere
B96.4,proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
B96.5,pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
B96.6,bacteroides fragilis [b. fragilis] as the cause of diseases classified elsewhere
B96.7,clostridium perfringens [c. perfringens] as the cause of diseases classified elsewhere
B96.81,helicobacter pylori [h. pylori] as the cause of diseases classified elsewhere
B96.82,vibrio vulnificus as the cause of diseases classified elsewhere
B96.83,acinetobacter baumannii as the cause of diseases classified elsewhere
B96.89,other specified bacterial agents as the cause of diseases classified elsewhere
B97.0,adenovirus as the cause of diseases classified elsewhere
B97.10,unspecified enterovirus as the cause of diseases classified elsewhere
B97.11,coxsackievirus as the cause of diseases classified elsewhere
B97.12,echovirus as the cause of diseases classified elsewhere
B97.19,other enterovirus as the cause of diseases classified elsewhere
B97.21,sars-associated coronavirus as the cause of diseases classified elsewhere
B97.29,other coronavirus as the cause of diseases classified elsewhere
B97.30,unspecified retrovirus as the cause of diseases classified elsewhere
B97.31,lentivirus as the cause of diseases classified elsewhere
B97.32,oncovirus as the cause of diseases classified elsewhere
B97.33,"human t-cell lymphotrophic virus, type i [htlv-i] as the cause of diseases classified elsewhere"
B97.34,"human t-cell lymphotrophic virus, type ii [htlv-ii] as the cause of diseases classified elsewhere"
B97.35,"human immunodeficiency virus, type 2 [hiv 2] as the cause of diseases classified elsewhere"
B97.39,other retrovirus as the cause of diseases classified elsewhere
B97.4,respiratory syncytial virus as the cause of diseases classified elsewhere
B97.5,reovirus as the cause of diseases classified elsewhere
B97.6,parvovirus as the cause of diseases classified elsewhere
B97.7,papillomavirus as the cause of diseases classified elsewhere
B97.81,human metapneumovirus as the cause of diseases classified elsewhere
B97.89,other viral agents as the cause of diseases classified elsewhere
B99.8,other infectious disease
B99.9,unspecified infectious disease
C00.0,malignant neoplasm of external upper lip
C00.1,malignant neoplasm of external lower lip
C00.2,"malignant neoplasm of external lip, unspecified"
C00.3,"malignant neoplasm of upper lip, inner aspect"
C00.4,"malignant neoplasm of lower lip, inner aspect"
C00.5,"malignant neoplasm of lip, unspecified, inner aspect"
C00.6,"malignant neoplasm of commissure of lip, unspecified"
C00.8,malignant neoplasm of overlapping sites of lip
C00.9,"malignant neoplasm of lip, unspecified"
C01,malignant neoplasm of base of tongue
C02.0,malignant neoplasm of dorsal surface of tongue
C02.1,malignant neoplasm of border of tongue
C02.2,malignant neoplasm of ventral surface of tongue
C02.3,"malignant neoplasm of anterior two-thirds of tongue, part unspecified"
C02.4,malignant neoplasm of lingual tonsil
C02.8,malignant neoplasm of overlapping sites of tongue
C02.9,"malignant neoplasm of tongue, unspecified"
C03.0,malignant neoplasm of upper gum
C03.1,malignant neoplasm of lower gum
C03.9,"malignant neoplasm of gum, unspecified"
C04.0,malignant neoplasm of anterior floor of mouth
C04.1,malignant neoplasm of lateral floor of mouth
C04.8,malignant neoplasm of overlapping sites of floor of mouth
C04.9,"malignant neoplasm of floor of mouth, unspecified"
C05.0,malignant neoplasm of hard palate
C05.1,malignant neoplasm of soft palate
C05.2,malignant neoplasm of uvula
C05.8,malignant neoplasm of overlapping sites of palate
C05.9,"malignant neoplasm of palate, unspecified"
C06.0,malignant neoplasm of cheek mucosa
C06.1,malignant neoplasm of vestibule of mouth
C06.2,malignant neoplasm of retromolar area
C06.80,malignant neoplasm of overlapping sites of unspecified parts of mouth
C06.89,malignant neoplasm of overlapping sites of other parts of mouth
C06.9,"malignant neoplasm of mouth, unspecified"
C07,malignant neoplasm of parotid gland
C08.0,malignant neoplasm of submandibular gland
C08.1,malignant neoplasm of sublingual gland
